"X" "y1" "y2" "x1" "x2" "x3"
"1" 1 41.5 45.9 162 23 3
"2" 2 33.8 53.3 162 23 8
"3" 3 27.7 57.5 162 30 5
"4" 4 21.7 58.8 162 30 8
"5" 5 19.9 60.6 172 25 5
"6" 6 15 58 172 25 8
"7" 7 12.2 58.6 172 30 5
"8" 8 4.3 52.4 172 30 8
"9" 9 19.3 56.9 167 27.5 6.5
"10" 10 6.4 55.4 177 27.5 6.5
"11" 11 37.6 46.9 157 27.5 6.5
"12" 12 18 57.3 167 32.5 6.5
"13" 13 26.3 55 167 22.5 6.5
"14" 14 9.9 58.9 167 27.5 9.5
"15" 15 25 50.3 167 27.5 3.5
"16" 16 14.1 61.1 177 20 6.5
"17" 17 15.2 62.9 177 20 6.5
"18" 18 15.9 60 160 34 7.5
"19" 19 19.6 60.6 160 34 7.5
